1d_timestamp,1d_open,1d_high,1d_low,1d_close,1d_volume
1665014400000,20161.1,20455.04,19852.61,19961.77,25944.180175
1665100800000,19961.77,20065.44,19321.58,19527.0,25607.60881
1665187200000,19527.0,19626.0,19241.0,19414.41,7997.482918
1665273600000,19414.41,19555.2,19317.13,19438.5,5824.71266
1665360000000,19438.5,19526.01,19022.0,19130.45,11979.126899
1665446400000,19130.45,19267.33,18857.12,19058.0,10645.539935
1665532800000,19058.0,19240.0,18960.68,19154.93,9170.645859
1665619200000,19154.93,19507.0,18160.47,19374.98,26318.981601
1665705600000,19374.98,19950.57,19074.3,19175.68,19061.936727
1665792000000,19175.68,19226.0,18980.0,19071.34,4578.572454
1665878400000,19071.34,19424.73,19066.01,19264.83,5464.351201
1665964800000,19264.83,19677.4,19155.58,19550.15,13401.406119
1666051200000,19550.15,19704.7,19093.64,19328.0,19851.650147
1666137600000,19328.0,19359.37,19074.6,19123.0,11681.708963
1666224000000,19123.0,19343.0,18905.83,19043.65,14041.432194
1666310400000,19043.65,19249.92,18662.0,19163.1,14718.208714
1666396800000,19163.1,19261.01,19112.9,19202.45,2702.929723
1666483200000,19202.45,19695.0,19069.51,19569.0,8009.080534
1666569600000,19569.0,19600.5,19156.01,19331.0,13895.97603
1666656000000,19331.0,20419.12,19238.66,20081.22,24286.253374
1666742400000,20081.22,21018.0,20048.64,20769.66,31839.081583
1666828800000,20769.66,20873.28,20200.0,20295.32,24295.889726
1666915200000,20295.32,20750.0,20000.0,20591.65,23718.493897
1667001600000,20591.65,21082.91,20553.23,20808.44,11562.027673
1667088000000,20808.44,20932.0,20514.0,20627.18,7798.174637
1667174400000,20627.18,20841.61,20237.18,20491.17,15871.511441
1667260800000,20491.17,20695.0,20330.35,20483.43,13586.383872
1667347200000,20483.43,20799.0,20058.97,20151.84,16151.3772
1667433600000,20151.84,20393.52,20029.42,20209.59,8708.091138
1667520000000,20209.59,21300.0,20182.04,21143.84,22757.053147
1667606400000,21143.84,21480.0,21080.27,21298.28,10124.972758
1667692800000,21298.28,21366.0,20887.3,20908.35,9006.331751
1667779200000,20908.35,21070.71,20384.44,20589.55,18547.591297
1667865600000,20589.55,20679.66,17531.0,18545.0,49190.843966
1667952000000,18545.0,18587.78,15530.0,15910.69,48135.871722
1668038400000,15910.69,18150.0,15736.68,17600.05,29581.719845
1668124800000,17600.05,17692.14,16364.0,17058.81,31012.732996
1668211200000,17058.81,17110.0,16636.1,16814.0,7572.216075
1668297600000,16814.0,16951.5,16235.01,16340.57,6378.291943
1668384000000,16340.57,17188.88,15825.88,16620.26,17927.973339
1668470400000,16620.26,17123.0,16527.0,16894.5,12374.208004
1668556800000,16894.5,17016.66,16380.0,16658.23,8494.660744
1668643200000,16658.23,16747.96,16415.56,16692.1,4668.039281
1668729600000,16692.1,16991.0,16542.42,16696.97,4773.828947
1668816000000,16696.97,16817.48,16552.99,16695.81,2030.627192
1668902400000,16695.81,16749.18,16183.73,16278.35,3915.650168
1668988800000,16278.35,16318.32,15484.34,15782.91,6534.772374
1669075200000,15782.91,16302.26,15622.5,16222.53,9184.816177
1669161600000,16222.53,16700.0,16159.01,16603.73,8032.858835
1669248000000,16603.73,16808.9,16457.92,16598.08,5154.478213
1669334400000,16598.08,16623.79,16343.4,16522.0,5110.683685
1669420800000,16522.0,16696.22,16387.15,16462.86,3498.455043
1669507200000,16462.86,16597.25,16403.53,16429.75,2944.144089
1669593600000,16429.75,16488.7,16000.0,16217.36,6637.168156
1669680000000,16217.36,16546.56,16101.0,16442.15,4903.028171
1669766400000,16442.15,17250.0,16428.42,17163.07,8424.56736
1669852800000,17163.07,17317.71,16863.5,16978.95,5679.99979
1669939200000,16978.95,17102.0,16780.39,17088.59,3675.066924
1670025600000,17088.59,17152.9,16861.54,16885.56,1908.132235
1670112000000,16885.56,17200.0,16884.65,17105.45,2839.832396
1670198400000,17105.45,17415.91,16867.67,16963.99,4887.118772
1670284800000,16963.99,17104.08,16904.6,17084.99,3221.637902
1670371200000,17084.99,17138.0,16689.0,16836.0,2849.864052
1670457600000,16836.0,17295.05,16730.0,17224.74,3867.291389
1670544000000,17224.74,17343.65,17058.58,17127.74,3186.18431
1670630400000,17127.74,17224.04,17091.32,17125.6,1651.503318
1670716800000,17125.6,17267.99,17059.92,17089.8,2009.59148
1670803200000,17089.8,17239.24,16870.8,17207.18,3831.887075
1670889600000,17207.18,17977.0,17079.31,17778.49,6979.827724
